"Статус","Количество"
"Total","178"
"Active","34"
"Accepted","22"
"Final","76"
"Provisional","1"
"Draft","46"
"Total","179"
"Active","34"
"Accepted","22"
"Final","77"
"Provisional","1"
"Draft","46"
"Total","180"
"Active","34"
"Accepted","22"
"Final","78"
"Provisional","1"
"Draft","46"
"Total","181"
"Active","34"
"Accepted","22"
"Final","79"
"Provisional","1"
"Draft","46"
"Total","182"
"Active","34"
"Accepted","22"
"Final","80"
"Provisional","1"
"Draft","46"
"Total","183"
"Active","34"
"Accepted","22"
"Final","81"
"Provisional","1"
"Draft","46"
"Total","184"
"Active","34"
"Accepted","22"
"Final","82"
"Provisional","1"
"Draft","46"
"Total","185"
"Active","34"
"Accepted","22"
"Final","83"
"Provisional","1"
"Draft","46"
"Total","186"
"Active","34"
"Accepted","22"
"Final","84"
"Provisional","1"
"Draft","46"
"Total","187"
"Active","34"
"Accepted","22"
"Final","85"
"Provisional","1"
"Draft","46"
"Total","188"
"Active","34"
"Accepted","22"
"Final","86"
"Provisional","1"
"Draft","46"
"Total","189"
"Active","34"
"Accepted","22"
"Final","87"
"Provisional","1"
"Draft","46"
"Total","190"
"Active","34"
"Accepted","22"
"Final","88"
"Provisional","1"
"Draft","46"
"Total","191"
"Active","34"
"Accepted","22"
"Final","89"
"Provisional","1"
"Draft","46"
"Total","192"
"Active","34"
"Accepted","22"
"Final","90"
"Provisional","1"
"Draft","46"
"Total","193"
"Active","34"
"Accepted","22"
"Final","91"
"Provisional","1"
"Draft","46"
"Total","194"
"Active","34"
"Accepted","22"
"Final","92"
"Provisional","1"
"Draft","46"
"Total","195"
"Active","34"
"Accepted","22"
"Final","93"
"Provisional","1"
"Draft","46"
"Total","196"
"Active","34"
"Accepted","22"
"Final","94"
"Provisional","1"
"Draft","46"
"Total","197"
"Active","34"
"Accepted","22"
"Final","95"
"Provisional","1"
"Draft","46"
"Total","198"
"Active","34"
"Accepted","22"
"Final","96"
"Provisional","1"
"Draft","46"
"Total","199"
"Active","34"
"Accepted","22"
"Final","97"
"Provisional","1"
"Draft","46"
"Total","200"
"Active","34"
"Accepted","22"
"Final","98"
"Provisional","1"
"Draft","46"
"Total","201"
"Active","34"
"Accepted","22"
"Final","99"
"Provisional","1"
"Draft","46"
"Total","202"
"Active","34"
"Accepted","22"
"Final","100"
"Provisional","1"
"Draft","46"
"Total","203"
"Active","34"
"Accepted","22"
"Final","101"
"Provisional","1"
"Draft","46"
"Total","204"
"Active","34"
"Accepted","22"
"Final","102"
"Provisional","1"
"Draft","46"
"Total","205"
"Active","34"
"Accepted","22"
"Final","103"
"Provisional","1"
"Draft","46"
"Total","206"
"Active","34"
"Accepted","22"
"Final","104"
"Provisional","1"
"Draft","46"
"Total","207"
"Active","34"
"Accepted","22"
"Final","105"
"Provisional","1"
"Draft","46"
"Total","208"
"Active","34"
"Accepted","22"
"Final","106"
"Provisional","1"
"Draft","46"
"Total","209"
"Active","34"
"Accepted","22"
"Final","107"
"Provisional","1"
"Draft","46"
"Total","210"
"Active","34"
"Accepted","22"
"Final","108"
"Provisional","1"
"Draft","46"
"Total","211"
"Active","34"
"Accepted","22"
"Final","109"
"Provisional","1"
"Draft","46"
"Total","212"
"Active","34"
"Accepted","22"
"Final","110"
"Provisional","1"
"Draft","46"
"Total","213"
"Active","34"
"Accepted","22"
"Final","111"
"Provisional","1"
"Draft","46"
"Total","214"
"Active","34"
"Accepted","22"
"Final","112"
"Provisional","1"
"Draft","46"
"Total","215"
"Active","34"
"Accepted","22"
"Final","113"
"Provisional","1"
"Draft","46"
"Total","216"
"Active","34"
"Accepted","22"
"Final","114"
"Provisional","1"
