"Статус","Количество"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","25"
"Deferred","38"
"Withdrawn","69"
"Rejected","123"
"April Fool!","1"
"Total","707"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","25"
"Deferred","38"
"Withdrawn","69"
"Rejected","124"
"April Fool!","1"
"Total","708"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","25"
"Deferred","38"
"Withdrawn","69"
"Rejected","125"
"April Fool!","1"
"Total","709"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","25"
"Deferred","38"
"Withdrawn","69"
"Rejected","126"
"April Fool!","1"
"Total","710"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","25"
"Deferred","38"
"Withdrawn","69"
"Rejected","127"
"April Fool!","1"
"Total","711"
